SYS_NO,NTCE_WATER_ID_NM,NTCE_WATER_TITLE_NM,NTCE_WATER_CN,CTGRY_ONE_FLAG_CD,CTGRY_ONE_NM,CTGRY_TWO_FLAG_CD,LOCPLC_ALL_ADDR,ACMD_NMPR_CO,CARD_SETLE_AT,DETAIL_ADDR,CVNTL_NM,UTILIIZA_CHRGE_CN,PROGRM_NM,CNSLT_TEL_NO,RSTDE_GUID_CN,PRKPLCE_EXST_AT,TEL_NO,GO_TRNSPORT_MTH_CN,CMNG_TRNSPORT_MTH_CN,OPN_FCLTY_NM,DSCNT_AT,UTILIIZA_TIME,HMPG_ADDR,OPER_TIME,GID_LA,GID_LO,REPRSNT_IMAGE_ONE_NM,REPRSNT_IMAGE_TWO_NM,REPRSNT_IMAGE_THREE_NM,THEME_MAIN_IMAGE_NM
43,453,일광산 웰빙맨발산책로,"일광산 정상으로 향하는 산길은 해발 388m로 그리 부담되지는 않을 것이다.
일광샘을 지나 500m 가량 오르면 금새 일광산 정상에 오를 수 있다.
정상의 바위에 올라서면, 오른쪽 끝으로 기장체육관, 일광해수욕장이 보이고
왼쪽으로는 울산 앞 바다가 한눈에 들어온다.
가족끼리 연인끼리 아님 혼자서 미음완보 할 수 있는 숲속 한가운데 마련된 아기자기한 자연 공원 같은 곳이 테마임도이다.
연못, 옹달샘, 쉬어갈 수 있는 의자, 잔디밭, 산책로, 정자까지 있는 재미난 곳이다.
길 양옆으로 여러가지 나무를 심어 벚나무거리, 무궁화거리, 동백거리, 단풍거리, 진달래꽃길, 철쭉군락 등을 조성해 계절별로 운치를 더하고 대추나무, 살구나무 등 유실수를 심어 등산객이 따먹을수 있게 하였다.
구절초, 섬초롱꽃, 벌개미취, 원추리, 참나리, 수련, 꽃창포 등 우리꽃 초화단지를 곳곳에 만들어 6월부터 10월까지 계절별로 다양한 볼거리가 많다.
또, 체육시설과 정자가 마련되어 있어 산책을 하는 가운데, 잠시 발길을 멈추고 점심을 먹거나 가족끼리 모여 놀이도 즐길 수 있다.
현재 많은 산악자전거 동호인들이 주말을 이용해 임도를 찾고 있다.
기장읍 만화리 테마임도 일원에 조성된 MTB경기장은 전국에서 두번째로 공인된 MTB경기장으로서 2000년 10월 부산 전국체전 MTB경기를 성공리에 개최한 바 있다.
일광산 MTB경기장 조성이 마무리됨으로써 전국규모의 MTB대회를 개최, 2002 아시안게임을 비롯한 각종 국제경기장으로서의 역할을 톡톡히 해냈고 기장군수배 전국산악자전거대회를 격년으로 하고 있다. 일광산은 해발 388m로 그리 부담되지는 않는 산행지다.
가장 일반적으로 일광샘을 지나 산 정상으로 올라가는 길이 있다. 정상에 올라서면 일광산 비석이 제일 먼저 눈에 띈다. 바위에 올라서면, 오른쪽 끝으로 기장종합체육관, 일광해수욕장이 보이고 왼쪽으로는 울산 앞 바다가 한눈에 들어온다.
정상아래 산등성, 억새풀이 펼쳐져 있어 그 또한 운치가 있다. 한 숨 쉬라고 만들어 놓은 평상과 의자에 앉아 자연의 정취를  느껴보지 못하고 산을 내려오면 후회할 것이다.
2002년 아시안게임 산악자전거 경기장으로 사용된 테마임도에는 경기장 코스가 그대로 있다. 부산 경남의 많은 산악자전거 동호인들이 주말을 이용해 임도를 찾는다.
산악자전거에 관심이 많거나 좀 특별하게 임도를 다녀오고 싶다면, 산악용 자전거와 함께 방문하는 것도 색다른 경험이 될 것이다",b01,b01,부산광역시 기장군 기장읍 만화리,,,402-1,,,,,051)709-4532,연중 무휴,null,051)709-4532,null,null,null,,,,null,35.25783,129.1978,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/114151045.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/114151037.jpg,null,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/114151037.jpg
44,454,일광산 테마 길,"일광산 정상으로 향하는 산길은 해발 388m로 그리 부담되지는 않을 것이다.
일광샘을 지나 500m 가량 오르면 금새 일광산 정상에 오를 수 있다. 정상의 바위에 올라서면, 오른쪽 끝으로 기장체육관, 일광해수욕장이 보이고 왼쪽으로는 울산 앞 바다가 한눈에 들어온다.
가족끼리 연인끼리 아님 혼자서 미음완보 할 수 있는 숲속 한가운데 마련된 아기자기한 자연 공원 같은 곳이 테마임도이다. 연못, 옹달샘, 쉬어갈 수 있는 의자, 잔디밭, 산책로, 정자까지 있는 재미난 곳이다.
길 양옆으로 여러가지 나무를 심어 벚나무거리, 무궁화거리, 동백거리, 단풍거리, 진달래꽃길, 철쭉군락 등을 조성해 계절별로 운치를 더하고 대추나무, 살구나무 등 유실수를 심어 등산객이 따먹을수 있게 하였다. 구절초, 섬초롱꽃, 벌개미취, 원츄리, 참나리, 수련, 꽃창포 등 우리꽃 초화단지를 곳곳에 만들어 6월부터 10월까지 계절별로 다양한 볼거리가 많다.
또, 체육시설과 정자가 마련되어 있어 산책을 하는 가운데, 잠시 발길을 멈추고 점심을 먹거나 가족끼리 모여 놀이도 즐길 수 있다.
현재 많은 산악자전거 동호인들이 주말을 이용해 임도를 찾고 있다. 기장읍 만화리 테마임도 일원에 조성된 MTB경기장은 전국에서 두번째로 공인된 MTB경기장으로서 2000년 10월 부산 전국체전 MTB경기를 성공리에 개최한 바 있다.
일광산 MTB경기장 조성이 마무리됨으로써 전국규모의 MTB대회를 개최, 2002 아시안게임을 비롯한 각종 국제경기장으로서의 역할을 톡톡히 해냈고 기장군수배 전국산악자전거대회를 격년으로 하고 있다.
일광산은 해발 388m로 그리 부담되지는 않는 산행지다. 가장 일반적으로 일광샘을 지나 산 정상으로 올라가는 길이 있다. 정
상에 올라서면 일광산 비석이 제일 먼저 눈에 띈다. 바위에 올라서면, 오른쪽 끝으로 기장종합체육관, 일광해수욕장이 보이고 왼쪽으로는 울산 앞 바다가 한눈에 들어온다.
정상아래 산등성, 억새풀이 펼쳐져 있어 그 또한 운치가 있다. 한 숨 쉬라고 만들어 놓은 평상과 의자에 앉아 자연의 정취를  느껴보지 못하고 산을 내려오면 후회할 것이다.
2002년 아시안게임 산악자전거 경기장으로 사용된 테마임도에는 경기장 코스가 그대로 있다. 부산 경남의 많은 산악자전거 동호인들이 주말을 이용해 임도를 찾는다. 산악자전거에 관심이 많거나 좀 특별하게 임도를 다녀오고 싶다면, 산악용 자전거와 함께 방문하는 것도 색다른 경험이 될 것이다.",b01,b01,부산광역시 기장군 기장읍 만화리,,,02번지(기장읍 이진테마빌아파트),,,,,051)709-4122,연중 무휴&#xD;,null,051)709-4122,null,null,null,,,,null,35.25783,129.1978,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/113162039.jpg,null,null,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/113162026.jpg
45,456,회동수원지 수변산책로,"오륜대는 금정구 오륜동의 회동수원지 부근 아름다운 경치를 일컫는다.
산과 새, 바위의 조화로 병풍을 이룬 기장군 철마면 아홉산을 비롯하여 사방이 산으로 쌓여있는 골짜기에는 봉황과 백구가 날아오를 듯이 경치가 뛰어난 곳을 오륜대라 했다.

지금은 그옛날 노래하는 새들과 시인 묵객은 간곳없고 미나리 밭과 따사롭게 반짝이는 호수의 물빛뿐인 산중호수인 회동수원지만 옛정취를 품은채 출렁일뿐 이다.

회동수원지 우안 기존에 있던 숲속길 정비하여 호안 절반이 산책로로 연결되며 특히 천혜의 절경인 오륜대 정상에 회동수원지 일대를 조망할 수 있는 옛 오륜 취수장에서 오륜대 정상을 연결하는 '하늘가는 길'도 만든다.

반짝이는 호수가를 옆으로 하며 우거진 숲속의 맑은공기를 한껏 마시며 천혜의 절경인 오륜대를 음미하며 걷는 사색의 길 항상 마음이 들뜬다",b01,b01,부산광역시 금정구 오륜동,,,113,,,,,051)519-4081,연중 무휴,null,051)519-4081,null,"일반: 179, 99, 42 &amp;ltbr&amp;gt마을: 금정구6&amp;ltbr&amp;gt",null,,,,null,35.2514,129.11,http:\/\/vod.busan.go.kr\/photosystem\/rfc\/photo\/thumbnail\/134579028407903.jpg,http:\/\/vod.busan.go.kr\/photosystem\/rfc\/photo\/thumbnail\/134579029791070.jpg,null,http:\/\/vod.busan.go.kr\/photosystem\/rfc\/photo\/thumbnail\/134579026925585.jpg
46,460,황령산 벚꽃길(물만골로),"금정산과 더불어 부산의 대표적인 명산으로 꼽히는 황령산은 연제구와 남구, 수영구, 부산진구에 걸친 부산시의 중심에 있으면서, 금련산맥에서 두 번째로 높은 산이다.
산 정상부는 남미대륙의 안데스산맥의 화산에서 많이 발견되는 안데사이트(andesite), 즉 안산암으로 이루어져 있다.
지리적 위치 때문에 무엇보다도 경치가 좋아서 부산 시민들 사이에서는 오래된 드라이브, 데이트 코스로 알려져 왔다.

1422년, 조선 세종 7년에는 이곳이 군사적으로 중요하다고 여겨 산 정상에 봉수대를 설치했다. 산역이 그리 넓지 않아 3시간 안팎이면 돌아볼 수 있고 체육시설과 야영장이 잘 갖추어져 있다.
산정은 비교적 평탄하며 소규모의 성채 경관을 나타내는 기반암이 노출되어 있고, 북동쪽으로 금련산과 연결되어 있다.
산을 오르는 길은 다양하다. 산역이 넓지 않아 어느 길을 택하든 길을 잃을 염려는 없다.
다만 식수를 구하기가 어려우므로 유의해야 한다.
산 정상에는 통신탑이 있고 부산시내가 한눈에 들어온다. 밤에는 부산 시내의 야경을 감상하러 온 사람들이 많다.
천체 관측을 하기에도 좋아 ‘별 보러’ 가는 즐거움도 덤으로 얻을 수 있다.
황령산 벚꽃길은 2002년 아시아경기대회 개최지 선정을 기념하고 400만 부산시민의 휴식처로 조성하기 위하여 대한전문건설협회 부산광역시회의 식수 헌금으로 1996년 4월 왕벚나무를 심었음. 황령산 벚꽃길은 연제구 연제이마트 맞은편에서 마을버스 연제구1호를 타고 물만골 종점에서 하차하여 황령산 순환도로를 따라 10여분 올라가면 만날 수 있고, 연제구에서 수영구로 황령산 순환도로가 이어져 있어 야간에 승용차를 이용하여 부산의 야경을 보며 데이트를 즐기기 위해 찾는 시민들이 늘고 있다.",b01,b01,부산 연제구 황령산로,,,산180-10(연산2·3·6동,,,,,051)665-4063,연중 무휴,null,051)665-4063,null,null,null,,,,null,35.15958,129.084,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/72014712.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/72014726.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/72014740.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/72014655.jpg
47,461,온천천 산책로(연제구),"온천천(溫泉川)은 일명 동래천(東萊川), 서천(西川), 범어천(梵魚川)이라 부르기도 하는데
부산광역시의 진산인 금정산 고당봉과 이산봉우리 동쪽에 있는 계명봉 골짜기에서 발원하여 범어사, 청룡동 상마전 마을에 모여 수원지를 이루고, 금정구·동래구·연제구를 관류하여 수영강과 합류, 수영구 민락동앞 바다로 흘러드는 지방하천으로서 길이 15.62㎞, 너비 60∼90m, 유역면적 55.97㎢로, 수영강(水營江)의 총 유역면적 가운데 27.7％를 차지한다.

1997년 국가적 외환위기인 IMF를 맞아 실직자가 대량 발생되면서 생계지원책으로 공공근로사업이 시행되자 연제구에서 대규모 공공 근로사업의 일환으로 하천생태복원 및 주민휴식공원으로 조성하여 현재는 1일 13,000여명의 시민이 방문하는 시민공원의 역할을 하고 있다.

여름에는 초등학생이하 어린이들이 무료 물놀이와 자연을 관찰하기 위하여 부모님과 방문하거나 유치원 및 어린이집에서 원생들을 데리고 방문하는 사례가 늘고 있다.",b01,b01,부산광역시 연제구 온천천남로,,,39(연산동),,,,,051)665-4984,연중 무휴,null,051)665-4984,&#xD;,"마을: 동래구2 &#xD;일반: 49, 99, 57, 210, 189-1, 86, 87, 42 &#xD;좌석: 1010 &#xD;",null,,,,null,35.18898,129.0916,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/11414646.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/11414655.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/11414638.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/11414638.jpg
48,462,어린이대공원 순환도로,"어린이대공원은 부산의 중심지인 서면에서 약3㎞ 북쪽 백양산(해발 642m) 기슭에 위치하고 있으며, 5,052천㎡의 면적에 수원지(1909년 준공) 주변 중심으로 상록침엽수인 삼나무, 편백 등 각종 수목이 울창하게 우거져 있어 도심속 시민공원으로 자리매김하고 있다.

지난 1971년 성지곡 유원지로 지정되었다가, 1978년 세계아동의 해를 맞아 이를 기념하기 위하여 어린이대공원으로 개칭되어 오늘에 이르고 있고, 성지(聖知)의 유래는 신라시대에 성지라는 지관이 팔도강산 명산을 답사하다가 이곳이 명산이라 하여 그 혈맥에 철장을 꽂았다는 데서 “성지곡(聖知谷)”이란 이름이 생긴 것으로 전한다.

순환도로는 수원지를 중심으로 공원을 일주할 수 있도록 1972년에 조성된 산책로이며, 2009. 5월 일부구간 아스콘 포장을 탄성, 투수콘, 황토 포장으로 재포장 하였으며, 보통 걸음걸이로는 30분에서 50분 정도가 소요된다.

이 곳을 따라 놀이동산, 수변공원, 금연동산 등 유희시설과 휴식공간이 설치되어 있으며, 부산시민걷기대회 등 다양한 행사가 이곳에서 개최되고 있다",b01,b01,부산광역시 부산진구 새싹로,,,295,,,,,051)860-7841,연중 무휴&#xD;,null,051)860-7841,null,"마을: 부산진구17, 부산진구15 &#xD;일반: 44, 81, 133, 63, 54, 83-1 &#xD;",null,,,,null,35.1851,129.0433,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/112717294.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/1127172911.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/1127172917.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/101619559.jpg
49,499,금정산 실버로드,"한반도에서 햇살이 가장 먼저 비친다는 금정산은 골짜기마다 울창한 숲과 맑은 물이 항상 흘러내리고 화강암의 기암절벽이 절묘한 산세를 일구어 마치 아름다운 수묵화를 펼쳐놓은 듯한 부산의 진산으로서 부산의 역사와 그 뿌리를 함께하여 시민들의 정신적 지주 역할을 하고 휴식공간으로 이용되고 있다.
금정산은 부산 시가지는 물론 김해평야까지 한눈에 조망되는 주봉인 고당봉, 금정산성 통과지점으로 수정처럼 빛나는 산정의 바위생김새에서 붙여진 파리봉, 금빛 나는 물고기가 오색구름을 타고 내려와 그 속에서 놀았다고 붙여진 금샘이 자리잡고 있으며, 금정산성을 따라 4대 성문이 자리 잡고 있다.

위와 같이 부산의 명산 금정산은 천혜의 자연경관을 이용한 건강 테마코스로서, 이와 연계한 금정산 산자락하단 주택 연접지와 회동수원지의 옛 등산로를 복원함으로써 노약자와 어린이도 쉽게 이용할 수 있는 공간도 함께 마련 중에 있다.",b01,b01,부산시 금정구 노포동,,,산48-3번지일원,,,,,051)519-4081,연중 무휴,null,051)519-4081,null,마을: 금정구1&amp;ltbr&amp;gt좌석: 203&amp;ltbr&amp;gt,null,,,,null,35.29522,129.0798,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/1420255.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/142039.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/1420325.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/1420241.jpg
50,92089,오륙도 스카이워크,"오륙도 스카이워크는 오륙도 승두말에 위치해 있으며 바다 쪽으로 9m 나갔다가 돌아오는 U자형 강판유리로 제작됐다. 실제로 걸어보면 발 아래로 30m 절벽과 바다가 보여 짜릿함을 느낄 수 있다.
※ 개시 : 2013.10.18",b01,b01,부산광역시 남구 용호동,,,"산196-1번지, 산202번지(승두말)",,,,,null,null,null,null,null,null,null,,,,null,35.10088,129.1244,http:\/\/vod.busan.go.kr\/photosystem\/rfc\/photo\/thumbnail\/138207522949042.jpg,http:\/\/vod.busan.go.kr\/photosystem\/rfc\/photo\/thumbnail\/138207522626207.jpg,null,http:\/\/vod.busan.go.kr\/photosystem\/rfc\/photo\/thumbnail\/138199794406077.bmp
51,128874,낙동강 생태탐방선,"규격 : 무게 19.9t, 길이 18.8m, 폭 4.3m
탑승인원 : 정원 33명(여객30명, 운영3명)
속도 : 평균 10노트(시속18km)
특이사항 : 친환경에너지(태양관......",b02,b02,부산광역시 서구 엄광산로 40번길 80(서대신동3가),,,화명선착장 : 부산광역시 북구 덕천동 815-25(화명생태공원 내),,,,,null,null,null,null,null,null,null,null,null,,null,35.11083,128.9494,http:\/\/tour.busan.go.kr\/upload_data\/manage_img\/\/thumbnail\/140927504794240.jpg,http:\/\/tour.busan.go.kr\/upload_data\/manage_img\/\/thumbnail\/140927505300158.jpg,null,http:\/\/tour.busan.go.kr\/upload_data\/manage_img\/\/thumbnail\/140927504248713.jpg
52,133595,연효재 - 발효체험,"한국의 전통과 발효문화를 한껏 느낄 수 있는 체험공간이며,도심의 한가운데 위치한 부산의 자랑, 국제금융단지 맞은 편에 자리하고 있어 접근성이 용이하며, 품격을 갖춘 한국식인테리어로......",b02,b02,부산광역시 기장군 일광면 못골길 39,,,null,,,,,null,null,null,051-636-9355,2호선 국제금융센터 부산은행역(4번출구),"시내버스 24,138-1,583",null,"20,000~50,000원",수~토 - 10:00~17:00(예약필수) \/ 일요일 - 단체예약,,수~토 - 10:00~17:00(예약필수) \/ 일요일 - 단체예약,35.1461179,129.0721357,http:\/\/tour.busan.go.kr\/upload_data\/manage_img\/\/thumbnail\/155383876555719.jpg,http:\/\/tour.busan.go.kr\/upload_data\/manage_img\/\/thumbnail\/155383877193547.jpg,null,http:\/\/tour.busan.go.kr\/upload_data\/manage_img\/\/thumbnail\/155383874878556.jpg
53,133597,대영태권도,"70명 정도 태권도를 체험할 수 있는  넓은 공간과 도복 등 편의시설 구비
관장은 국제태권도사범 자격을 갖추고 있으며 해외교육경험 다수
태권도 교육에 대한 영상과 체계적인 프로......",b02,b02,"부산광역시 부산진구 시민공원로 73, 부산시민공원 문화예술촌",,,null,,,,,null,null,null,051-628-5286,2호선 남천역(3번출구),"시내버스 51,83,131,155,583",null,"30,000원",주중 10:00～21:00(2시간소요) \/ 주말 10:00~17:00(2시간소요),,주중 10:00～21:00 \/ 주말 10:00~17:00,35.1368473,129.108394,http:\/\/tour.busan.go.kr\/upload_data\/manage_img\/\/thumbnail\/155375223049942.jpg,http:\/\/tour.busan.go.kr\/upload_data\/manage_img\/\/thumbnail\/155375223576266.jpg,null,http:\/\/tour.busan.go.kr\/upload_data\/manage_img\/\/thumbnail\/155375222445268.jpg
54,133599,솔밭예술마을,"도심재생사업으로 조성된 창작공예공방

한 장소에서 소규모 인원이 다양한 체험을 할 수  있는 공예 체험관으로 
6~10명 단위 비누, 섬유, 도자기, 사진등 체험할 수 있는 ......",b02,b02,부산광역시 해운대구 좌동 순환로 25-1,,,null,,,,,null,null,null,051-731-2549,2호선 해운대역(1번출구),"시내버스 38,40,63,100-1,115-1,181,1001",null,"8,000 ~ 50,000원",월~토 11:00~18:00 \/ 매주 화요일 휴무,,null,null,null,http:\/\/tour.busan.go.kr\/upload_data\/manage_img\/\/thumbnail\/155375373792393.jpg,http:\/\/tour.busan.go.kr\/upload_data\/manage_img\/\/thumbnail\/155375374473823.jpg,null,http:\/\/tour.busan.go.kr\/upload_data\/manage_img\/\/thumbnail\/155375373313371.jpg
55,154357,홍찬일 금속공방,"부산시민공원내 문화예술촌에 위치하고 있어 접근성이 좋고, 다양한 장르(조각,금속공예,쥬얼리,3D 프린팅 등)의 체험과 작품을 경험할 수 있도록 꾸며져 있으며, 1일 체험은 물론 정......",b02,b02,부산광역시 영도구 태종로 54-3(대교동1가),,,null,,,,,null,null,null,null,1호선 부전역(7번출구),"시내버스 54,63,103,124,133",null,"10,000~30,000원","화~토요일 10:00~18:00(매주 월요일, 둘째\/네째 일요일 휴무)",,null,null,null,http:\/\/tour.busan.go.kr\/upload_data\/manage_img\/\/thumbnail\/155417980046316.jpg,http:\/\/tour.busan.go.kr\/upload_data\/manage_img\/\/thumbnail\/155417980640049.jpg,null,http:\/\/tour.busan.go.kr\/upload_data\/manage_img\/\/thumbnail\/155417979091758.jpg
56,157,"동아요리학원 - 김치 담그기, 미역국 끓이기 등 대장금요리체험","김치 담그기, 미역국 끓이기, 불고기, 잡채, 파전 등 우리의 자랑스러운 식문화를 세계에 알리는데 그 뜻을 두고 1990년부터 운영하고 있는 프로그램으로 한국을 대표하는 요리를 실......",b02,b02,부산광역시 영도구 해양로 301번길 45(동삼동) 국립해양박물관,,,null,,,,,null,null,null,051)818-3000,1호선 범일역(6번출구),"시내버스 10,108,111,138,167",null,"20,000~50,000원(최소 5인이상)",월~금 09:00~21:00\/ 토요일 예약가능,,null,35.14072,129.0596,http:\/\/tour.busan.go.kr\/upload_data\/manage_img\/\/thumbnail\/155375584058063.jpg,http:\/\/tour.busan.go.kr\/upload_data\/manage_img\/\/thumbnail\/155375584562419.jpg,null,http:\/\/tour.busan.go.kr\/upload_data\/manage_img\/\/thumbnail\/155375583492557.jpg
57,158,만덕 뜰에장 - 전통음식체험,"뜰에장에서는 동래파전뿐 아니라 각종 장아찌와 된장, 간장, 고추장, 막장, 청국장 등 전통 장과 음식을 직접 만들어 먹어 볼수도 있고 가져갈 수 있다.
- 전통장류(된장, 고추장......",b02,b02,부산광역시 금정구 산성로409,,,null,,,,,null,null,null,051)513-1777,3호선 만덕역(3번출구) 하차 후 마을버스 8번 환승,마을버스 북구8(한신아파트정문하차),null,"20,000원 부터",월~토 09:00~15:00(사전예약필수),,null,35.21107,129.0444,http:\/\/tour.busan.go.kr\/upload_data\/manage_img\/\/thumbnail\/155375605021674.jpg,http:\/\/tour.busan.go.kr\/upload_data\/manage_img\/\/thumbnail\/155375605426651.jpg,null,http:\/\/tour.busan.go.kr\/upload_data\/manage_img\/\/thumbnail\/155375604562305.jpg
58,159,부산박물관 문화체험관,"부산박물관내에 신규 개관(2009. 4.14)된 부산문화체험관은 전통문화체험 기회 제공을 위해 다양한 코너를 운영하고 있습니다.
부산박물관 부산관 지하 1층에 자리한 ‘문화체험관......",b02,b02,부산광역시 서구 구덕로 186번길 15 2층,,,null,,,,,051)610-7141,매주 월요일 (월요일이 공휴일인 경우 다음날 휴관),null,051)610-7140,2호선(대연),"마을: 남구10, 남구2, 남구9, 남구6, 남구3, 남구1, 남구8 일반: 138, 68, 51, 134, 101, 10, 24, 27, 22, 41 좌석: 1003",null,null,null,,10:00～16:30,35.12957,129.0941,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/417203811.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/417203819.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/417203826.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/41720376.jpg
59,161,금강사 다도체험,"☞ 프로그램

· 이론설명

· 차 달이는 법 및 마시는 예절 시범, 차시음

· 차밭체험가능(시기에 따라 차 잎따기, 차 잎말리기 등)......",b02,b02,부산광역시 사하구 옥천로 76번길 96,,,null,,,,,null,null,중소형 20대,051-555-1383,1호선 온천장역하차 후 도보20분,"(일반) 77, 80, 110, 110-1",null,"20,000원(다식포함)",화~토 14:00~17:00,,null,35.21966,129.0686,http:\/\/tour.busan.go.kr\/upload_data\/manage_img\/\/thumbnail\/155375264111766.jpg,http:\/\/tour.busan.go.kr\/upload_data\/manage_img\/\/thumbnail\/155375264680354.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/111731536.jpg,http:\/\/tour.busan.go.kr\/upload_data\/manage_img\/\/thumbnail\/155375263620271.jpg
60,162036,강서구 대항어촌체험휴양마을,"대항마을은 가덕도에 최남단에 위치한 마을로, 가덕도의 연대산 정상에서 보면 큰 목의 형상이 나타나 대항(大項)마을이라고 한다. 낚시체험을 비롯해 후릿그물체험, 홍합따기체험 등 다양......",b02,b02,부산광역시 기장군 철마면 개좌로 679-30,,,부산시 강서구 가덕해안로 1207번길9-2,,,,,null,null,null,051)972-9720,null,null,null,null,null,,null,null,null,null,null,null,null
61,162037,기장군 공수어촌체험휴양마을,"공수어촌체험마을은 부산 기장에 위치하지만 송정해수욕장과 불과 10여분 거리 밖에 되지 않아 도심에서의 접근성이 매우 좋고, 맑고 푸른 동해와 접하여 기암괴석으로 수려한 해안절경 등......",b02,b02,부산광역시 강서구 봉죽길 91번길 65-38(봉림동),,,부산시 기장군 기장읍 공수해안로 13-2,,,,,null,null,null,051-723-1919,null,null,null,null,null,,null,null,null,http:\/\/tour.busan.go.kr\/upload_data\/manage_img\/\/thumbnail\/149508143625054.jpg,http:\/\/tour.busan.go.kr\/upload_data\/manage_img\/\/thumbnail\/149508144732716.jpg,null,http:\/\/tour.busan.go.kr\/upload_data\/manage_img\/\/thumbnail\/149508142435080.bmp
62,162038,영도구 동삼어촌체험휴양마을,"동삼어촌체험마을은 부산.영도구.동삼2동 하리 마을이라는 곳에 위치해 동삼동(東三洞)은""동쪽에 위치한 3개 마을"" 이라는 뜻이다.
상리,중리,하리 등 영도의 동쪽 해안에 위치한 세......",b02,b02,부산광역시 부산진구 서면로 24(부전동),,,부산시 영도구 하리해안길 17-5,,,,,null,null,null,051-405-0207,null,null,null,null,null,,null,null,null,http:\/\/tour.busan.go.kr\/upload_data\/manage_img\/\/thumbnail\/149508167531024.bmp,http:\/\/tour.busan.go.kr\/upload_data\/manage_img\/\/thumbnail\/149508168741316.bmp,null,http:\/\/tour.busan.go.kr\/upload_data\/manage_img\/\/thumbnail\/149508166563448.bmp
63,163,문화요리학원 - 김치 담그기 & 대장금요리체험,"부산시 서면 중심부에 위치한 문화요리학원은 1988년도에 설립되어 25여년의 전통을 가지고 있다.
한국의 맛을 전문으로 연구하는 학원으로써 우리의 음식을 국내 및 세계에 알리며,......",b02,b02,부산광역시 중구 광복중앙로 3-1,,,null,,,,,null,null,중소형가능,051-804-1124,"1,2호선 서면역(2번출구)","시내버스 10,103,108,111,133",null,"30,000원 부터",월~일 9:00~21:00,,월~일 9:00~21:00,35.15675,129.0598,http:\/\/tour.busan.go.kr\/upload_data\/manage_img\/\/thumbnail\/155383529768921.jpg,http:\/\/tour.busan.go.kr\/upload_data\/manage_img\/\/thumbnail\/155383530234718.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/61091725.jpg,http:\/\/tour.busan.go.kr\/upload_data\/manage_img\/\/thumbnail\/155383529252177.jpg
64,163767,쿡스요리학원,김치담그기 & 대장금요리체험......,b02,b02,부산광역시 사하구 감내2로 178-1,,,null,,,,,null,null,null,051-465-2000,1호선 부산역(2번출구),"시내버스 17,101,103,134,167",null,"30,000~50,000원",월~금 10:00~21:00\/토요일 예약가능,,월~금 10:00~21:00\/토요일 예약가능,35.1120936,129.0365697,http:\/\/tour.busan.go.kr\/upload_data\/manage_img\/\/thumbnail\/155383549449597.jpg,http:\/\/tour.busan.go.kr\/upload_data\/manage_img\/\/thumbnail\/155383549999870.jpg,null,http:\/\/tour.busan.go.kr\/upload_data\/manage_img\/\/thumbnail\/155383548731884.jpg
65,163768,고래사어묵,"프로그램
- 고래사어묵을 가지고 만들 수 있는 쿠킹클래스
(메뉴는 분기마다 변경됨)......",b02,b02,부산광역시 사하구 낙동남로,,,null,,,,,null,null,null,051-747-4337,2호선 해운대역(5번출구),null,null,"인터넷 예약 5,000원(1인)",월~금 15:00(주말 12:00\/15:00),,월~금 15:00(주말 12:00\/15:00),35.161853,129.0925639,http:\/\/tour.busan.go.kr\/upload_data\/manage_img\/\/thumbnail\/155383604298411.jpg,http:\/\/tour.busan.go.kr\/upload_data\/manage_img\/\/thumbnail\/155383604815514.jpg,null,http:\/\/tour.busan.go.kr\/upload_data\/manage_img\/\/thumbnail\/155383603855095.jpg
